Time Step,Stress Ratio,Stress Ratio Change
1,0.319722458,0
2,0.319758508,3.61E-05
3,0.319799208,4.07E-05
4,0.3198301,3.09E-05
5,0.319862958,3.29E-05
6,0.3198938,3.08E-05
7,0.319918692,2.49E-05
8,0.319940375,2.17E-05
9,0.319963008,2.26E-05
10,0.319979892,1.69E-05
11,0.319997342,1.75E-05
12,0.320017092,1.97E-05
13,0.320032592,1.55E-05
14,0.320044625,1.20E-05
15,0.320060842,1.62E-05
16,0.32006885,8.01E-06
17,0.320083467,1.46E-05
18,0.320093558,1.01E-05
19,0.320099375,5.82E-06
20,0.320111967,1.26E-05
21,0.320118658,6.69E-06
22,0.320127733,9.08E-06
23,0.320133283,5.55E-06
24,0.320144058,1.08E-05
25,0.320148375,4.32E-06
26,0.320157292,8.92E-06
27,0.320159092,1.80E-06
28,0.320165025,5.93E-06
29,0.320172275,7.25E-06
30,0.320175083,2.81E-06
31,0.320184092,9.01E-06
32,0.320185708,1.62E-06
33,0.320193583,7.87E-06
34,0.320200667,7.08E-06
35,0.320202017,1.35E-06
36,0.320210567,8.55E-06
37,0.320216025,5.46E-06
38,0.320218358,2.33E-06
39,0.3202277,9.34E-06
40,0.320232617,4.92E-06
41,0.32023475,2.13E-06
42,0.320243917,9.17E-06
43,0.32024915,5.23E-06
44,0.320249958,8.08E-07
45,0.320257,7.04E-06
46,0.320265083,8.08E-06
47,0.320266117,1.03E-06
48,0.320271117,5.00E-06
49,0.320282425,1.13E-05
50,0.32028635,3.93E-06
51,0.320288558,2.21E-06
52,0.320296517,7.96E-06
53,0.320307025,1.05E-05
54,0.320308108,1.08E-06
55,0.320313225,5.12E-06
56,0.320321867,8.64E-06
57,0.320327258,5.39E-06
58,0.320328142,8.84E-07
59,0.320335092,6.95E-06
60,0.320345325,1.02E-05
61,0.320347558,2.23E-06
62,0.320351842,4.28E-06
63,0.320359633,7.79E-06
64,0.320366983,7.35E-06
65,0.320369875,2.89E-06
66,0.320375375,5.50E-06
67,0.320384783,9.41E-06
68,0.320390117,5.33E-06
69,0.320390133,1.60E-08
70,0.320397033,6.90E-06
71,0.320405592,8.56E-06
72,0.320407758,2.17E-06
73,0.320412433,4.68E-06
74,0.320420975,8.54E-06
75,0.320430225,9.25E-06
76,0.3204314,1.17E-06
77,0.320436042,4.64E-06
78,0.320448558,1.25E-05
79,0.320452442,3.88E-06
80,0.3204581,5.66E-06
81,0.3204688,1.07E-05
82,0.320471042,2.24E-06
83,0.320474342,3.30E-06
84,0.320484042,9.70E-06
85,0.320491825,7.78E-06
86,0.320492333,5.08E-07
87,0.320498483,6.15E-06
88,0.3205088,1.03E-05
89,0.320512825,4.03E-06
90,0.32051515,2.33E-06
91,0.320522542,7.39E-06
92,0.320534667,1.21E-05
93,0.320535508,8.41E-07
94,0.320537558,2.05E-06
95,0.3205463,8.74E-06
96,0.320555367,9.07E-06
97,0.320557658,2.29E-06
98,0.320561083,3.43E-06
99,0.320570167,9.08E-06
100,0.3205765,6.33E-06
101,0.320578,1.50E-06
102,0.320584833,6.83E-06
103,0.320595667,1.08E-05
104,0.320599583,3.92E-06
105,0.320602083,2.50E-06
106,0.3206105,8.42E-06
107,0.3206195,9.00E-06
108,0.320621167,1.67E-06
109,0.320623583,2.42E-06
110,0.32063275,9.17E-06
111,0.320640333,7.58E-06
112,0.320641417,1.08E-06
113,0.32064675,5.33E-06
114,0.320657917,1.12E-05
115,0.320664083,6.17E-06
116,0.320665083,1.00E-06
117,0.320671833,6.75E-06
118,0.320682333,1.05E-05
119,0.320685583,3.25E-06
120,0.320686333,7.50E-07
121,0.320695833,9.50E-06
122,0.320705583,9.75E-06
123,0.320706333,7.50E-07
124,0.320712333,6.00E-06
125,0.320721,8.67E-06
126,0.320726833,5.83E-06
127,0.3207275,6.67E-07
128,0.320734583,7.08E-06
129,0.320745667,1.11E-05
130,0.320748833,3.17E-06
131,0.320751667,2.83E-06
132,0.320759583,7.92E-06
133,0.320769417,9.83E-06
134,0.32077,5.83E-07
135,0.320774167,4.17E-06
136,0.320785333,1.12E-05
137,0.320790667,5.33E-06
138,0.320791667,1.00E-06
139,0.32080025,8.58E-06
140,0.32081,9.75E-06
141,0.32081,0
142,0.320812917,2.92E-06
143,0.320823417,1.05E-05
144,0.320830083,6.67E-06
145,0.320832417,2.33E-06
146,0.32084,7.58E-06
147,0.320851583,1.16E-05
148,0.320850583,-10.00E-07
149,0.320854833,4.25E-06
150,0.320866833,1.20E-05
151,0.32087,3.17E-06
152,0.320872333,2.33E-06
153,0.320881417,9.08E-06
154,0.320890583,9.17E-06
155,0.320890833,2.50E-07
156,0.320896667,5.83E-06
157,0.320908167,1.15E-05
158,0.320908667,5.00E-07
159,0.320911667,3.00E-06
160,0.320923167,1.15E-05
161,0.320927333,4.17E-06
162,0.320928083,7.50E-07
163,0.320931333,3.25E-06
164,0.32093175,4.17E-07
165,0.320931083,-6.67E-07
166,0.3209415,1.04E-05
167,0.32094775,6.25E-06
168,0.320947,-7.50E-07
169,0.320956833,9.83E-06
170,0.32096575,8.92E-06
171,0.32096575,0
172,0.320974,8.25E-06
173,0.32098275,8.75E-06
174,0.320982,-7.50E-07
175,0.320989917,7.92E-06
176,0.32100075,1.08E-05
177,0.321001167,4.17E-07
178,0.321007417,6.25E-06
179,0.321018333,1.09E-05
180,0.321021167,2.83E-06
181,0.321023917,2.75E-06
182,0.32103575,1.18E-05
183,0.32103775,2.00E-06
184,0.321039833,2.08E-06
185,0.3210515,1.17E-05
186,0.321058333,6.83E-06
187,0.32105725,-1.08E-06
188,0.321068583,1.13E-05
189,0.321076333,7.75E-06
190,0.321076,-3.33E-07
191,0.321085833,9.83E-06
192,0.321096083,1.02E-05
193,0.321097,9.17E-07
194,0.321104917,7.92E-06
195,0.321113083,8.17E-06
196,0.321115583,2.50E-06
197,0.321121667,6.08E-06
198,0.321130833,9.17E-06
199,0.32113125,4.17E-07
200,0.321136167,4.92E-06
201,0.321149583,1.34E-05
202,0.321150583,10.00E-07
203,0.32115575,5.17E-06
204,0.3211655,9.75E-06
205,0.321168083,2.58E-06
206,0.3211645,-3.58E-06
207,0.321175,1.05E-05
208,0.321176917,1.92E-06
209,0.3211825,5.58E-06
210,0.321190333,7.83E-06
211,0.321193,2.67E-06
212,0.321201583,8.58E-06
213,0.321208,6.42E-06
214,0.3212115,3.50E-06
215,0.321221667,1.02E-05
216,0.321224917,3.25E-06
217,0.321230417,5.50E-06
218,0.32123575,5.33E-06
219,0.32123775,2.00E-06
220,0.32124625,8.50E-06
221,0.321253,6.75E-06
222,0.321254417,1.42E-06
223,0.321261333,6.92E-06
224,0.321269,7.67E-06
225,0.321271167,2.17E-06
226,0.321280417,9.25E-06
227,0.32129075,1.03E-05
228,0.32129225,1.50E-06
229,0.3212985,6.25E-06
230,0.321310583,1.21E-05
231,0.321312333,1.75E-06
232,0.321316917,4.58E-06
233,0.321327083,1.02E-05
234,0.321328083,10.00E-07
235,0.321333667,5.58E-06
236,0.321344083,1.04E-05
237,0.321347,2.92E-06
238,0.321351167,4.17E-06
239,0.32136175,1.06E-05
240,0.321363583,1.83E-06
241,0.321368,4.42E-06
242,0.32137975,1.18E-05
243,0.321380083,3.33E-07
244,0.321385833,5.75E-06
245,0.321396,1.02E-05
246,0.321397667,1.67E-06
247,0.321400833,3.17E-06
248,0.321412417,1.16E-05
249,0.321415417,3.00E-06
250,0.321417417,2.00E-06
251,0.321427417,1.00E-05
252,0.32142975,2.33E-06
253,0.321433833,4.08E-06
254,0.321445333,1.15E-05
255,0.321446167,8.34E-07
256,0.3214525,6.33E-06
257,0.32146175,9.25E-06
258,0.321463083,1.33E-06
259,0.321468917,5.83E-06
260,0.321479083,1.02E-05
261,0.321480833,1.75E-06
262,0.32148725,6.42E-06
263,0.321496167,8.92E-06
264,0.3214985,2.33E-06
265,0.32150425,5.75E-06
266,0.321513083,8.83E-06
267,0.321514667,1.58E-06
268,0.3215205,5.83E-06
269,0.321530083,9.58E-06
270,0.321531,9.17E-07
271,0.321537417,6.42E-06
272,0.321547833,1.04E-05
273,0.32154825,4.17E-07
274,0.321555167,6.92E-06
275,0.32156425,9.08E-06
276,0.321564917,6.67E-07
277,0.321570167,5.25E-06
278,0.321579833,9.67E-06
279,0.321580083,2.50E-07
280,0.321587167,7.08E-06
281,0.321596917,9.75E-06
282,0.321600167,3.25E-06
283,0.321604167,4.00E-06
284,0.321614083,9.92E-06
285,0.321616083,2.00E-06
286,0.321621583,5.50E-06
287,0.321631167,9.58E-06
288,0.3216215,-9.67E-06
289,0.321627167,5.67E-06
290,0.321637167,1.00E-05
291,0.321638,8.33E-07
292,0.321643583,5.58E-06
293,0.321653917,1.03E-05
294,0.321657667,3.75E-06
295,0.321662167,4.50E-06
296,0.32167075,8.58E-06
297,0.32167425,3.50E-06
298,0.32167925,5.00E-06
299,0.321687667,8.42E-06
300,0.321692333,4.67E-06
301,0.321695083,2.75E-06
302,0.321703667,8.58E-06
303,0.321709167,5.50E-06
304,0.321710417,1.25E-06
305,0.321716917,6.50E-06
306,0.321727,1.01E-05
307,0.321727333,3.33E-07
308,0.32173275,5.42E-06
309,0.321742917,1.02E-05
310,0.321743833,9.16E-07
311,0.321749167,5.33E-06
312,0.321758583,9.42E-06
313,0.321761333,2.75E-06
314,0.321765167,3.83E-06
315,0.321775667,1.05E-05
316,0.321778333,2.67E-06
317,0.321783167,4.83E-06
318,0.321792833,9.67E-06
319,0.32179375,9.17E-07
320,0.321801333,7.58E-06
321,0.321809417,8.08E-06
322,0.321811333,1.92E-06
323,0.321816667,5.33E-06
324,0.321824667,8.00E-06
325,0.321828667,4.00E-06
326,0.32183325,4.58E-06
327,0.321840917,7.67E-06
328,0.321844833,3.92E-06
329,0.321849167,4.33E-06
330,0.321858,8.83E-06
331,0.321863167,5.17E-06
332,0.321865833,2.67E-06
333,0.321873333,7.50E-06
334,0.321878083,4.75E-06
335,0.321881167,3.08E-06
336,0.321888917,7.75E-06
337,0.321896667,7.75E-06
338,0.321895667,-1.00E-06
339,0.321903833,8.17E-06
340,0.321910083,6.25E-06
341,0.321910833,7.50E-07
342,0.321917917,7.08E-06
343,0.321925167,7.25E-06
344,0.3219275,2.33E-06
345,0.321935,7.50E-06
346,0.321943,8.00E-06
347,0.32194325,2.50E-07
348,0.321951833,8.58E-06
349,0.321960917,9.08E-06
350,0.321961333,4.16E-07
351,0.3219685,7.17E-06
352,0.32197675,8.25E-06
353,0.321978333,1.58E-06
354,0.321984333,6.00E-06
355,0.321992833,8.50E-06
356,0.321993333,5.00E-07
357,0.322,6.67E-06
358,0.32200725,7.25E-06
359,0.322008167,9.17E-07
360,0.32201425,6.08E-06
361,0.322021833,7.58E-06
362,0.322023,1.17E-06
363,0.322029583,6.58E-06
364,0.322037917,8.33E-06
365,0.322039583,1.67E-06
366,0.322047167,7.58E-06
367,0.322053417,6.25E-06
368,0.322061167,7.75E-06
369,0.322067,5.83E-06
370,0.322067083,8.30E-08
371,0.322069417,2.33E-06
372,0.322076083,6.67E-06
373,0.322083667,7.58E-06
374,0.322087167,3.50E-06
375,0.32209225,5.08E-06
376,0.322101917,9.67E-06
377,0.322105667,3.75E-06
378,0.322109083,3.42E-06
379,0.32211875,9.67E-06
380,0.322124667,5.92E-06
381,0.322127417,2.75E-06
382,0.322135917,8.50E-06
383,0.322141583,5.67E-06
384,0.32214425,2.67E-06
385,0.322153583,9.33E-06
386,0.3221605,6.92E-06
387,0.32216225,1.75E-06
388,0.32217075,8.50E-06
389,0.3221765,5.75E-06
